province,sales,profit
安徽,113742.734,32222.834
北京,76154.54,19854.24
福建,102315.08,32774.7
甘肃,47267.444,-13210.036
广东,254769.725,58887.605
广西,48349.532,14036.932
贵州,15893.136,287.616
海南,10995.88,4132.94
河北,227145.8,43675.38
河南,79220.54,17722.6
黑龙江,273877.632,66982.132
湖北,135006.9,-33492.34
湖南,163503.277,31399.277
吉林,76539.617,17712.317
江苏,128183.776,-16801.764
江西,29987.86,7944.72
辽宁,152250.028,-29393.812
内蒙古,59787.252,-15047.368
宁夏,12685.988,-900.592
山东,192400.46,49812.56
山西,99782.9,25386.9
陕西,102767.168,21152.628
上海,99893.584,17668.784
四川,60567.584,-9514.876
天津,95426.03,20107.01
西藏,1144.92,400.26
新疆,16700.88,4683
云南,79432.052,16937.032
浙江,94619.56,-27441.26
重庆,65262.4,11809.84
